turn,open
0,0.001
0.011,0.001
0.036,0.003
0.058,0.005
0.079,0.005
0.104,0.008
0.129,0.013
0.153,0.013
0.174,0.018
0.199,0.031
0.22,0.031
0.247,0.033
0.276,0.043
0.301,0.049
0.325,0.051
0.344,0.059
0.363,0.064
0.383,0.069
0.404,0.079
0.426,0.084
0.443,0.092
0.463,0.102
0.486,0.11
0.504,0.115
0.531,0.125
0.553,0.136
0.576,0.151
0.599,0.166
0.622,0.184
0.642,0.202
0.659,0.217
0.676,0.238
0.691,0.256
0.702,0.271
0.719,0.292
0.74,0.315
0.757,0.345
0.768,0.366
0.78,0.384
0.796,0.419
0.806,0.442
0.816,0.463
0.824,0.481
0.835,0.512
0.845,0.535
0.856,0.57
0.868,0.604
0.878,0.642
0.888,0.688
0.895,0.724
0.908,0.77
0.921,0.813
0.929,0.847
0.941,0.88
0.951,0.905
0.96,0.928
0.971,0.954
0.984,0.974
0.995,0.987
